,0,1
0,"{'epsilon': 0.1, 'D': 6.5, 'r': 0.01, 'd': 5.0, 'N_init': 5}",1.0839264932083356e-05
1,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 8.5, 'N_init': 5}",1.1153005780169617e-05
2,"{'epsilon': 0.1, 'D': 5.5, 'r': 0.02, 'd': 6.5, 'N_init': 5}",1.1779897118912801e-05
3,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 9.0, 'N_init': 5}",1.281391847309677e-05
4,"{'epsilon': 0.1, 'D': 7.5, 'r': 0.01, 'd': 8.0, 'N_init': 5}",1.3017821293718819e-05
5,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 9.5, 'N_init': 10}",1.4240174577350383e-05
6,"{'epsilon': 0.1, 'D': 7.5, 'r': 0.01, 'd': 9.5, 'N_init': 10}",1.4883792118118187e-05
7,"{'epsilon': 0.1, 'D': 7.5, 'r': 0.01, 'd': 9.0, 'N_init': 10}",1.6536215603271685e-05
8,"{'epsilon': 0.1, 'D': 9.5, 'r': 0.01, 'd': 10.0, 'N_init': 5}",1.688255564887986e-05
9,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.02, 'd': 6.5, 'N_init': 10}",1.7247562375001347e-05
10,"{'epsilon': 0.1, 'D': 8.0, 'r': 0.01, 'd': 7.5, 'N_init': 5}",1.8133895133178837e-05
11,"{'epsilon': 0.1, 'D': 6.5, 'r': 0.01, 'd': 6.0, 'N_init': 5}",1.8647640907978804e-05
12,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 6.5, 'N_init': 10}",1.9929170349036436e-05
13,"{'epsilon': 0.1, 'D': 5.5, 'r': 0.02, 'd': 8.0, 'N_init': 5}",2.0253888832192337e-05
14,"{'epsilon': 0.1, 'D': 6.5, 'r': 0.01, 'd': 8.5, 'N_init': 10}",2.0327915336104388e-05
15,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 7.5, 'N_init': 5}",2.1048393097263422e-05
16,"{'epsilon': 0.1, 'D': 6.5, 'r': 0.01, 'd': 10.0, 'N_init': 5}",2.4090335513137385e-05
17,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 7.0, 'N_init': 10}",2.573760003936797e-05
18,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 6.0, 'N_init': 5}",2.5809548878893907e-05
19,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 10.0, 'N_init': 5}",2.635177511081876e-05
20,"{'epsilon': 0.1, 'D': 7.5, 'r': 0.01, 'd': 5.5, 'N_init': 5}",2.755274527044464e-05
21,"{'epsilon': 0.1, 'D': 5.5, 'r': 0.01, 'd': 6.5, 'N_init': 15}",2.886392063705996e-05
22,"{'epsilon': 0.1, 'D': 5.5, 'r': 0.02, 'd': 6.0, 'N_init': 5}",2.9830992907804113e-05
23,"{'epsilon': 0.1, 'D': 7.5, 'r': 0.01, 'd': 5.5, 'N_init': 10}",2.9856297849580107e-05
24,"{'epsilon': 0.1, 'D': 9.5, 'r': 0.01, 'd': 7.5, 'N_init': 5}",3.064572182916862e-05
25,"{'epsilon': 0.1, 'D': 6.5, 'r': 0.01, 'd': 9.5, 'N_init': 5}",3.116502623048264e-05
26,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 5.5, 'N_init': 15}",3.141838067895172e-05
27,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 9.0, 'N_init': 10}",3.148469977020674e-05
28,"{'epsilon': 0.1, 'D': 6.5, 'r': 0.01, 'd': 5.0, 'N_init': 10}",3.1827067533393725e-05
29,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 7.0, 'N_init': 15}",3.20068608304902e-05
30,"{'epsilon': 0.1, 'D': 6.0, 'r': 0.01, 'd': 5.5, 'N_init': 10}",3.216332366009072e-05
31,"{'epsilon': 0.1, 'D': 9.5, 'r': 0.01, 'd': 8.0, 'N_init': 5}",3.3323236960795325e-05
32,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 9.0, 'N_init': 15}",3.3608493668047834e-05
33,"{'epsilon': 0.1, 'D': 5.0, 'r': 0.01, 'd': 7.5, 'N_init': 5}",3.4063173909539095e-05
34,"{'epsilon': 0.1, 'D': 7.0, 'r': 0.01, 'd': 10.0, 'N_init': 5}",3.430263622467859e-05
